----------mesures----------
2784
temps,X,Y
11.125000,175.981633,236.216327
11.166667,159.762338,233.287014
11.208333,145.745689,230.204415
11.250000,134.752505,227.419627
11.291667,127.004963,225.346492
11.333333,122.086839,223.851651
11.375000,120.182552,223.211931
11.416667,121.742103,223.509025
11.458333,125.855281,224.725194
11.500000,132.941339,226.717736
11.541667,143.473917,229.302981
11.583333,156.451568,232.242864
11.625000,172.033145,235.550541
11.666667,189.790135,238.753606
11.708333,210.065750,241.503148
11.750000,232.017936,243.559981
11.791667,255.834871,244.889068
11.833333,279.791980,244.992709
11.875000,305.007245,244.052751
11.916667,329.893990,242.106676
11.958333,354.467742,238.865519
12.000000,377.819133,234.752082
12.041667,399.822652,230.258458
12.083333,419.865539,225.254898
12.125000,437.654687,220.064325
12.166667,452.800320,215.396555
12.208333,465.045680,211.317776
12.250000,474.096874,207.979810
12.291667,479.478717,205.719221
12.333333,481.455648,204.931577
12.375000,479.774315,205.381681
12.416667,474.540418,207.086490
12.458333,465.542205,210.122624
12.500000,452.879985,214.235070
12.541667,437.433558,218.833173
12.583333,418.849246,223.881136
12.625000,398.191330,229.060493
12.666667,375.199879,233.712535
12.708333,351.003679,237.927856
12.750000,325.806668,240.895995
12.791667,300.221527,243.067084
12.833333,275.207269,244.122026
12.875000,251.117255,243.987564
12.916667,228.246844,243.059513
12.958333,207.326175,240.966998
13.000000,188.475919,238.605341
13.041667,171.962486,235.873188
13.083333,157.706960,232.911859
13.125000,146.455262,230.467084
13.166667,137.994952,228.209270
13.208333,132.216701,226.719347
13.250000,129.630080,225.844776
13.291667,129.739231,225.825847
13.333333,132.754434,226.563004
13.375000,138.633679,228.043368
13.416667,147.269240,230.329691
13.458333,159.298988,232.968948
13.500000,173.115562,236.030157
13.541667,190.065167,238.840677
13.583333,208.482318,241.462925
13.625000,229.124943,243.581843
13.666667,251.037288,244.733107
13.708333,274.396475,245.251673
13.750000,298.086515,244.388215
13.791667,322.563800,242.714161
13.833333,346.214971,240.125613
13.875000,369.038833,236.229639
13.916667,390.903413,232.108583
13.958333,411.134310,227.304436
14.000000,428.793507,222.494455
14.041667,444.033347,217.845971
14.083333,456.972028,213.754079
14.125000,466.342353,210.273652
14.166667,472.523146,208.032367
14.208333,475.557009,206.950841
14.250000,474.769145,206.828067
14.291667,470.725084,208.282755
14.333333,463.069476,210.809925
14.375000,452.018213,214.408562
14.416667,437.868587,218.576197
14.458333,421.121101,223.597613
14.500000,401.476135,228.578551
14.541667,380.327641,233.177720
14.583333,357.167741,237.120016
14.625000,333.250357,240.668843
14.666667,308.907561,242.850852
14.708333,284.707555,244.259126
14.750000,261.628924,244.632604
14.791667,239.709543,243.820141
14.833333,218.708445,242.405719
14.875000,199.480336,240.454927
14.916667,183.092809,237.897528
14.958333,168.756969,235.377473
15.000000,157.131657,232.908114
15.041667,147.976212,230.761894
15.083333,141.753643,229.204690
15.125000,138.301874,228.158135
15.166667,137.430489,227.840046
15.208333,139.064619,228.450284
15.250000,144.217113,229.713109
15.291667,151.561220,231.575330
15.333333,161.465015,233.908924
15.375000,174.599079,236.364097
15.416667,189.594134,238.962483
15.458333,206.979000,241.401278
15.500000,225.764359,243.382293
15.541667,247.150710,244.762559
15.583333,269.045017,245.361702
15.625000,291.866007,244.730253
15.666667,315.291775,243.302002
15.708333,338.230425,240.794111
15.750000,360.723503,237.550455
15.791667,382.351357,233.616242
15.833333,401.750304,229.299149
15.875000,419.699659,224.796033
15.916667,435.093578,220.301812
15.958333,448.233718,216.140035
16.000000,458.427143,212.799308
16.041667,465.196544,210.325674
16.083333,469.005846,208.868565
16.125000,469.216176,208.766936
16.166667,465.968370,209.791503
16.208333,459.460672,212.014079
16.250000,449.815128,215.176051
16.291667,437.002845,219.104874
16.333333,421.457656,223.505639
16.375000,403.310486,228.184339
16.416667,383.274990,232.721824
16.458333,361.640561,236.704841
16.500000,338.785538,240.145440
16.541667,315.569699,242.489149
16.583333,292.021827,244.205128
16.625000,269.778734,244.750969
16.666667,247.890271,244.439136
